"pub_date","date_type","href","title","lan"
"01.08.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMTg=.html","Schweizerische Gesamtenergiestatistik 2024","DE"
"17.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIwNDg=.html","Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz 2025","DE"
"17.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMjk=.html","Lebensmittel kühlen – mit weniger Strom","DE"
"16.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTEwMQ==.html","BFE-Bereichs- und Programmleitende für die Energieforschung","DE"
"15.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvODQyMA==.html","ProKilowatt Fakten und Zahlen 2010 – 2024","DE"
"14.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMjE=.html","Füllungsgrad der Speicherseen 2025, Sonntag 24h, Wochenbericht Speicherinhalt","DE"
"14.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNjE=.html","EnergieSchweiz Geschäftsbericht 2024","DE"
"14.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMjc=.html","Stand der Energie- und Klimapolitik in den Kantonen 2025","DE"
"11.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIwNjE=.html","Beratendenliste Netto-Null-Fahrpläne (Art.5)","DE"
"10.07.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIyMjI=.html","Statistik Sonnenenergie","DE"
